"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"tops","Nautiel Washig Soap without Wax, 1L","Nautiel","6.93","EUR","0","","#e2e8f0","#0b1f3a","","Boat cleaning goes far beyond aesthetics or image. It's the foundation of proper maintenance and preservation of the various materials that make up a vessel. Proper care begins with choosing the right product for the surfaces being cleaned. Nautiel Wax-Free Washing Soap is essential for ensuring the best results in the regular cleaning of boat exteriors. Ideal for frequent washing of gelcoat or painted decks. Gentle on materials, the environment, and the user, its advanced formula creates an act","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/NAUTIELNOWAX1L.png?v=1780579610","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/nautiel-washig-soap-without-wax-1l","true"
"tops","Nautiel Washing Soap without Wax, 5L","Nautiel","33.11","EUR","0","","#e2e8f0","#0b1f3a","","Boat cleaning goes far beyond aesthetics or image. It's the foundation of proper maintenance and preservation of the various materials that make up a vessel. Proper care begins with choosing the right product for the surfaces being cleaned. Nautiel Wax-Free Washing Soap is essential for ensuring the best results in the regular cleaning of boat exteriors. Ideal for frequent washing of gelcoat or painted decks. Gentle on materials, the environment, and the user, its advanced formula creates an act","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/NAUTIELNOWAX5L.png?v=1780579270","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/nautiel-washing-soap-without-wax-5l","true"
"tops","Nautiel Washing Soap with Wax, 1L","Nautiel","6.62","EUR","0","","#e2e8f0","#0b1f3a","","Cleaning a boat goes far beyond aesthetics or image. It's the foundation of proper maintenance and preservation of the various materials that make up a vessel. Proper care begins with choosing the right product for the surfaces being cleaned. Nautiel Washing Soap with Waxes is essential to guarantee the best results in the regular cleaning of the exterior of new or recently polished boats, helping to preserve the gelcoat's shine for longer. Ideal for frequent washing of gelcoat or painted decks.","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/NautielWAX1L.png?v=1780579104","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/nautiel-washing-soap-with-wax-1l","true"
"tops","Nautiel Washing Soap with Wax, 5L","Nautiel","33.6","EUR","0","","#e2e8f0","#0b1f3a","","Cleaning a boat goes far beyond aesthetics or image. It's the foundation of proper maintenance and preservation of the various materials that make up a vessel. Proper care begins with choosing the right product for the surfaces being cleaned. Nautiel Washing Soap with Waxes is essential to guarantee the best results in the regular cleaning of the exterior of new or recently polished boats, helping to preserve the gelcoat's shine for longer. Ideal for frequent washing of gelcoat or painted decks.","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Nautiel5WAX.png?v=1780578680","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/nautiel-washing-soap-with-wax-5l","true"
"tops","Emergency Glass Breaker","VidaSoS","8.25","EUR","0","","#e2e8f0","#0b1f3a","","The Emergency Glass Breaker is a compact safety tool designed to provide a fast and effective escape solution in critical situations. Engineered to break glass quickly and efficiently, it enables immediate exit when standard access points are blocked or compromised. Suitable for a wide range of environments including marine, industrial, commercial, and residential settings, this tool is an essential addition to any safety kit. Whether in case of fire, flooding, structural damage, or emergency ev","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Capturadepantalla2026-04-16103017.png?v=1776328286","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/emergency-glass-breaker","true"
"tops","Bestial Barnacle Bust, 5L","Bestial","86.5","EUR","0","","#e2e8f0","#0b1f3a","","High-performance descaling solution designed to remove calcium deposits, barnacles and marine growth from seawater cooling systems and components. Key Benefits Effectively removes limescale and mineral build-up Eliminates barnacles and shell deposits Ideal for engine cooling systems and seawater A/C circuits Safe, non-toxic when diluted and used as directed Fast-acting and highly efficient Biodegradable formula Cost-effective maintenance solution Applications Seawater cooling systems (engines) A","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/CopiadeBarnacleBust5L.png?v=1776079119","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/bestial-barnacle-bust-5l","true"
"tops","Bestial Green Magic Wash & Wax Shampoo, 1L","Bestial","11.42","EUR","0","","#e2e8f0","#0b1f3a","","High-performance wash-down shampoo with carnauba wax, designed to clean, protect and enhance aged gelcoat surfaces. Key Benefits Cleans and protects surfaces in a single step Enhances shine with natural carnauba wax Specially formulated for aged gelcoat Effectively removes bird droppings, salt, sunscreen and organic residues Prevents limescale marks in hard water areas Versatile and cost-efficient solution Neutral pH (7.5) – safe on delicate surfaces Free from added fragrances and preservatives ","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Copiadebestialproducts-12.png?v=1776078354","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/bestial-green-magic-wash-wax-shampoo-1l","true"
"tops","Bestial Green Magic Wash & Wax Shampoo, 5L","Bestial","37.51","EUR","0","","#e2e8f0","#0b1f3a","","High-performance wash-down shampoo with carnauba wax, designed to clean, protect and enhance aged gelcoat surfaces. Key Benefits Cleans and protects surfaces in a single step Enhances shine with natural carnauba wax Specially formulated for aged gelcoat Effectively removes bird droppings, salt, sunscreen and organic residues Prevents limescale marks in hard water areas Versatile and cost-efficient solution Neutral pH (7.5) – safe on delicate surfaces Free from added fragrances and preservatives ","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Copiadebestialproducts-05.png?v=1776077719","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/bestial-green-magic-5l","true"
"tops","Yeti Tundra 65 Cool Box, Charcoal","Yeti","322.31","EUR","0","","#e2e8f0","#0b1f3a","","The YETI Tundra® 65 in Charcoal is a premium hard cooler engineered for maximum ice retention and uncompromising durability. Built to withstand the toughest marine and outdoor environments, it is the ideal solution for extended trips, onboard provisioning, and professional use. Featuring PermaFrost™ insulation and an extra-thick FatWall™ design, this cooler delivers industry-leading thermal performance, keeping contents colder for longer. The rotomolded construction ensures exceptional strength ","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Capturadepantalla2026-03-25105040.png?v=1774432259","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/yeti-tundra-65-cool-box-charcoal","true"
"tops","YETI Rambler Stackable Cup Seafoam, 16oz (473 ml)","Yeti","23.7","EUR","0","","#e2e8f0","#0b1f3a","","Yeti Rambler® 16oz (473 ml) Stackable Cup is designed for convenience and durability. Made from kitchen-grade stainless steel, it features double-wall vacuum insulation to keep drinks hot or cold for hours. The stackable design saves space in your cabinet or gear bag, and the included MagSlider™ Lid adds an extra layer of protection from spills — though it’s not leakproof. Key Features: Capacity: 16 oz / 473 ml Stackable for easy storage Double-wall vacuum insulation Made with durable stainless ","woman|man","deck","","1","","polo","https://cdn.shopify.com/s/files/1/0882/4638/7016/files/Captura_de_pantalla_2026-03-25_103116.png?v=1774431412","""{}""","Pinmar Yacht Supply","https://pinmaryachtsupply.com/products/yeti-rambler-stackable-cup-16-oz-473-ml","true"
