"category","name","brand","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","colourImages","supplierName","productUrl","active"
"outerwear","Bracken Tweed Jacket - Pebble","EOL","289","EUR","0","","#e2e8f0","#0b1f3a","100% wool exterior repels showers","The Bracken is a smart women's tweed sporting jacket available in a variety of tweed colours. A Teflon coated 100% wool exterior repels showers and a storm flap fastened off centre with eye-catching cast metal buttons hides a full-length zip which extends to the stand-up collar, to keep out chills. A great match with jeans and Dubarry country boots the Bracken is a very wearable jacket with deep gathered pockets that you'll find being used day in day out. Tweed sports jacket. (Approx. Centre bac","woman|man","interior|chief-stew","","1","34–46","jacket","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/ladies-tweed-jacket-pebble-bracken-411590-1.jpg?v=1717498257","""{}""","Dubarry","https://www.dubarry.com/products/ladies-tweed-jacket-pebble-bracken","true"
"outerwear","Bracken Tweed Jacket - Blue Heather","EOL","289","EUR","0","","#e2e8f0","#0b1f3a","100% wool exterior repels showers","The Bracken is a smart women's tweed sporting jacket available in a variety of tweed colours. A Teflon coated 100% wool exterior repels showers and a storm flap fastened off centre with eye-catching cast metal buttons hides a full-length zip which extends to the stand-up collar, to keep out chills. A great match with jeans and Dubarry country boots the Bracken is a very wearable jacket with deep gathered pockets that you'll find being used day in day out.","woman|man","interior|chief-stew","","1","34–46","jacket","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/ladies-tweed-jacket-blue-heather-bracken-411558-1.jpg?v=1717498215","""{}""","Dubarry","https://www.dubarry.com/products/ladies-tweed-jacket-blue-heather-bracken","true"
"outerwear","Blackthorn Tweed Jacket - Blue Heather","EOL","349","EUR","0","","#e2e8f0","#0b1f3a","100% wool coated","The Blackthorn is a Dubarry classic and staple for any wardrobe. The essence of country elegance, the three-quarter-length tailored jacket can be dressed up or down. Give an instant injection of sophistication to a jeans and Chelsea boot combination or complete a more formal look with real finesse. Made from 100% wool coated with Teflon to repel showers, marks and stains, the Blackthorn comes in a variety of coloured tweeds letting you to demonstrate your personal style and flare.","woman|man","deck","","1","34–44","jacket","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/ladies-tweed-jacket-blue-heather-blackthorn-411458-1.jpg?v=1717495392","""{}""","Dubarry","https://www.dubarry.com/products/ladies-tweed-jacket-blue-heather-blackthorn","true"
"shoes","Cowes Women's waterproof trainer - Navy","Current","149","EUR","0","","#e2e8f0","#0b1f3a","","Our Cowes trainers are waterproof as well as lightweight and highly breathable, with full anti-odour treatment. Flexible mesh uppers and supple soles keep you nimble while the overlays of stiffer material hold your feet precisely in place and protect your toes. Shock-absorbing midsoles cushion your feet for hours of comfort on end. The waterproof lining goes right up to the ankle and they’re designed to dry quickly, with removable footbeds, whenever they do get wet inside. Our NonSlip-NonMarking","woman","deck","","1","35–43","shoes","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/cowes-unisex-waterproof-breathable-trainer-navy-371603_1.jpg?v=1770811700","""{}""","Dubarry","https://www.dubarry.com/products/cowes-womens-waterproof-trainer-navy","true"
"outerwear","Kilberry Women’s fleece jacket - Olive","Current","149","EUR","0","","#e2e8f0","#0b1f3a","","A countryside essential that will do the miles, our Kilberry midweight fleece has a textured appearance that flits between outer and under layer as suits the weather. The polyester construction retains heat but is still breathable and quick drying - ideal for active country lifestyles. The faux suede piping adds polish to practical, making this a versatile layer, be it on a shoot day, in the P2P bar, school gates or to The Game Fair.","woman","interior|chief-stew","","1","34–44","jacket","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/kilberry-womens-zip-fleece-jacket-olive-454709_1.jpg?v=1779960069","""{}""","Dubarry","https://www.dubarry.com/products/kilberry-womens-fleece-jacket-olive","true"
"tops","Greystones Men’s leather field sports boot - Java","Current","419","EUR","0","","#e2e8f0","#0b1f3a","","A serious boot for field sport enthusiasts, combining immaculate craftsmanship with exceptional weatherproof performance. Greystones boots are designed with varied terrain, winter weather and immaculate turnout in mind. DryFast-DrySoft™ water resistant leather, heavy duty wax cotton panels, Cirrus insulation and GORE-TEX lining ensure dry and warm feet always. Shock absorbing and well cleated soles stand up to testing topography and gaiter tops prevent debris from the undergrowth entering boots.","man","deck","","1","40–47","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/greystones-mens-hunting-boot-java-391850_1.jpg?v=1779892233","""{}""","Dubarry","https://www.dubarry.com/products/greystones-mens-leather-field-sports-boot-java","true"
"tops","Freshford Women's Long-sleeved Polo - White","Current","79","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight long-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-long-white-freshford-425500-1.jpg?v=1709037662","""{}""","Dubarry","https://www.dubarry.com/products/freshford-womens-long-sleeved-polo-white","true"
"tops","Freshford Women's Long-sleeved Polo - Navy","Current","79","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight long-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-long-navy-freshford-425503-1.jpg?v=1709037627","""{}""","Dubarry","https://www.dubarry.com/products/freshford-womens-long-sleeved-polo-navy","true"
"tops","Freshford Women's Long-sleeved Polo - Platinum","Current","79","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight long-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-long-platinum-freshford-425530-1.jpg?v=1709037642","""{}""","Dubarry","https://www.dubarry.com/products/freshford-womens-long-sleeved-polo-platinum","true"
"tops","Sorrento Women's Short-Sleeved Polo - Platinum","Current","69","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight short-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-short-platinum-sorrento-425630-1.jpg?v=1709044750","""{}""","Dubarry","https://www.dubarry.com/products/sorrento-womens-short-sleeved-polo-platinum","true"
"tops","Sorrento Women's Short-sleeved Polo - Navy","Current","69","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight short-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-short-navy-sorrento-425603-1.jpg?v=1709044733","""{}""","Dubarry","https://www.dubarry.com/products/sorrento-womens-short-sleeved-polo-navy-copy","true"
"tops","Sorrento Women's Short-sleeved Polo - White","Current","69","EUR","0","","#e2e8f0","#0b1f3a","","Lightweight short-sleeved polo with UPF 40 sun protection. A great fit for both men and women. Quick-drying, breathable and moisture-wicking with odour prevention.","woman","interior|chief-stew","","1","XS–3XL","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/mens-short-white-sorrento-425600-1.jpg?v=1709044764","""{}""","Dubarry","https://www.dubarry.com/products/sorrento-womens-short-sleeved-polo-white-copy","true"
"outerwear","Hudson Women’s Chino Field Jacket - Kelp","Current","199","EUR","0","","#e2e8f0","#0b1f3a","","The Hudson Chino Field jacket is a take on a traditional utility staple, given a fresh spin for the season. The perfect choice to bolster a dress or skirt with Dubarry Country Lifestyle boots, it can as easily be paired with jeans or shorts for a low-key layer in the day too. An adjustable inner drawstring allows individual fitting, and you’ll find its roomy pockets indispensable.","woman","interior|chief-stew","","1","34–44","jacket","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/hudson-womens-chino-field-jacket-kelp-447033_1.jpg?v=1770809932","""{}""","Dubarry","https://www.dubarry.com/products/hudson-womens-chino-field-jacket-kelp","true"
"tops","Brookside Women’s Hooded Rain Mac - Bone","Current","199","EUR","0","","#e2e8f0","#0b1f3a","","Because can always rely on spring showers to show up, our reliably waterproof Brookside Rain Mac is a season essential. Made in waterproof and breathable polyester with a waterproof coating and taped seams, not only will it keep you dry but it packs away into a bag, ideal for untimely showers. The longer line style has a draw string waist so you can nip it in to suit your silhouette while staying as dry as possible. Pack in your car or pack in your bag, just don’t brave the showers without it.","woman","interior|chief-stew","","1","S–L","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/brookside-womens-lightweight-rain-mac-bone-446524_1.jpg?v=1770809832","""{}""","Dubarry","https://www.dubarry.com/products/brookside-womens-hooded-rain-mac-bone","true"
"tops","Bambrick Women's Hooded Sweatshirt - Olive","Current","149","EUR","0","","#e2e8f0","#0b1f3a","","The Bambrick hoodie is particularly useful layer for cooler summer moments. A full zip, cotton sweater with a brushed fleece back is perfect for an early morning spin with the dog or a breezy beach day when you’re eking out the last of sunshine. A small amount of polyester in the fabric prevents creasing too, so if you whip it on and off on more unpredictable weather days, you should still look fresh as a daisy.","woman","interior|chief-stew","","1","34–44","polo","https://cdn.shopify.com/s/files/1/0753/6194/3842/files/bambrick-womens-zip-hooded-sweatshirt-olive-451809_1.jpg?v=1770809774","""{}""","Dubarry","https://www.dubarry.com/products/bambrick-womens-hooded-sweatshirt-olive","true"
